|   -1 2083   -1 2526   -1 3519   -1  879   -1   -1   -1   -1 2336   -1  438   -1 2670   -1 |  497 1546 3662 2208   -1 2330  127 1455 1921 1259 2649   -1   -1 1012   -1   -1  640 4890 | 1651   -1 3431   -1   -1 3948 2165 4574 2524 4823 2857 3184   -1  639   -1 4853 1886  290 | 4151 4430   -1 3115 4461   -1 1412 1136   -1   -1   -1 3570   -1  660 1109   -1 1210 3323 |   -1 2428   -1 3140   -1   -1   -1 3023 4500 2243   -1   -1   -1   -1   -1  192 2044 2714 |   -1   -1 3897 1979   -1   -1 1256   -1   -1   -1 1678  975   -1 1125 3197   -1 4962   -1 | 3628   -1 2803   -1   -1   -1   -1   -1  548 1676   -1  160 2578 2980   -1   -1   -1   -1 |   -1   -1   -1   -1  751   -1 3144   -1 3298 2515   -1 3725 3061  305 4370   -1 4778  634 |   -1 2851   -1 4310 4826 3872 2698  234 1298   -1   -1   -1   -1   -1   -1  763 4630   -1 |  168 4404 4067 4668   -1   -1   -1   -1 2596   -1   -1   -1  912   -1   -1 4010   -1   -1 |   -1 4485 1994 1085   -1   -1   -1 3620   -1   -1 1087   -1   -1   -1  517   -1   -1   -1 |   -1   -1   -1  124 2216 1189 4080 4150 3869 2218   -1 4423   -1 2170   -1   -1  913 4284 |   -1   -1   -1 4875   -1   -1 4497   -1 1413   -1   -1  210   -1   -1 1626   -1   -1  546 |   -1 3907 2822 4903   -1 2476  219   -1 4365 3299 3187 2130   -1 3464 3019 3927   -1   -1 | 2106   -1 3615   -1   -1 1133  999   -1   -1 3342  874   -1 1747 1003   -1  945   -1 4295 | 2896  645   -1 1657   -1   -1   -1   -1   -1  149 3557   -1   -1 1427 2621 2971   -1 4289 |   -1  863   -1   -1 4136 1646  768 2641   -1 1654 3900   -1   -1 2915 1745   -1   45 2952 | 
|   -1 2252   -1  619   -1 1558   -1   74   -1   -1   -1   -1  978   -1 2227   -1 1091   72 |  819 1307 4185 4108 4055 1826 4618  519 2431 2599 2834 1229   -1 4097 3057   -1 2245 4636 | 2573   -1 2473   -1   -1   91 2486 4422 3459  500  478 3755   -1 3591  288  284 4829  590 | 4018 4177 2577  851 2202   -1 1790 2322 2957   -1   -1 1884   -1  767 1318   -1 4521  726 | 4583 4580   -1 4272 2594 3666   -1 4243  946 1897   -1   -1   -1  764   -1 3573 3502 1448 |   -1   -1 2098 1134 4801 4253 1421   -1 2310   -1 1492 3514   -1 2299 2101   -1 4271   -1 | 2997   -1 1789   -1 4659   -1   -1   -1 3925 1315   -1 2231 4457 3080 4321   -1   -1  529 | 4081 1407   -1   -1 4542   -1 4131   -1 3223  675   -1 3007 4244 1630 4012   -1  425  667 |   92 4523   -1 2945 2812 4835 2029 1094 3515   -1   -1 3481   -1   -1   -1 2631 1713   -1 | 2498 1411 2304 4329   -1   -1   -1   -1  198   -1   -1   -1 4978   -1   -1 2757   -1 4858 |   -1 4469 2020 3189   -1   -1 4450 2301   -1 3043 2541   -1   -1   -1 1923   -1   -1   -1 |   -1   -1   -1 2354 1194 1104 3783   53 1597 2916   -1 1286 3310 2523 1516   -1  725 4184 |   -1   -1   -1 2974 1860   -1  211 2709 4714 3190   -1 3110   -1 3483 2096   -1   -1 4133 |   -1 1100 2668 2570   25 1176 1708 2411 2870 4749 2606 4556   -1 1347 2251 3829   -1   -1 | 1906   -1  511   -1 4504 1943 2379   -1   -1  641  232   -1 3870 3564   -1 1861   -1  169 | 3750  308   -1 3448   -1   -1 4753   -1 2057 1443 2545   -1 4275 2460  787 3548   -1 2665 |   -1 2886 3158   -1 3350 1322 1076 3685   -1  385  772 3990   -1 3463 4465   -1 1264 2767 | 
|   -1 3985   -1 4976 1773  739 4062 3192 4715   -1   -1 3511 4285   -1 2172   -1 1919 1760 | 3365 2513  572 4202 1486  348 2928  656 4337 4987  989 2332   -1 3536  110   -1 3230 3069 |  516   -1  856   -1   -1 3978 4358 3078 2977  540  227 3692   -1  246  338 2689 4690 1977 | 2532 1591  801 3866 4473   -1  693  451 2749   -1   -1  968   -1 1920 4014   -1 3072 1934 |  704 3198  429  792 3837 3417   -1  793 4770 1756 3094   -1   -1 2944 2416  442 2788 3602 |   -1   -1 1613  471 3210 2791 4181   -1 1540   -1 4003 4626   -1 1849 3901   -1 1784   -1 |  613   -1 3640   -1 4797   -1   -1   -1 4489 3608   -1 2420 4218 2331 2176 4076 4161 3793 | 1733 3366   -1   -1  282   -1 3833   -1 4543 3883  369  243 2600  883 1283   -1 2397 1926 | 2517 3582   -1 1912 4783 4761 2818 4203 4818   -1  985 1019   -1 1213 3736  626 1510  153 | 2284 2636 1005 2045   -1   -1  180   -1 4141 1536   -1 3401 3238   -1   -1 4808 1909 1224 | 1958  419 2737  743   -1   -1 3569  804   -1 2556 3345   -1   -1   -1    0   -1   -1 4372 |   -1   -1   -1 3752  554 3520 1533 3358 2561   49 1893 4036  815 3862 1490 3718 4873 1157 |   -1   -1 3381 1434 1579   -1  514 3732 4322 1043  873 2922   -1 4224 1501 2704   -1 2854 |   -1 2383 2302 3183  520 4561 1700 4330 1794 4375 3709 2120   -1 2979 2586  897   -1   -1 | 3773   -1 2929   -1  199 4508 4859   -1   -1 4552 1542   -1 2814 3276  392 1726   -1 2013 | 3651 4318   -1 3142   -1   -1 2424 4117 3841  456    5   -1 3272 3972  496  552   -1  595 |   -1 3008 1809   -1  591 4102 2423 1235   -1 3806 4374 1131   -1 4471 1111   -1  909 4905 | 
|   -1 3178 3329 4040 1901  826 1276 3334 1160   -1 3484 3098 1677   -1 2090 1404 3093 1441 | 1118  279 1864 1388  690 1617 4719 4342  799 2138   41 3654   -1  934 2196   -1 1840  486 |   75   -1 1296  289   -1  734 4550 1970 2323 4739 4919 4020   -1 4639 4921 1165 1418 2479 | 4968 1807 2239 1395 2105   -1 2369 4784 2708   -1 1401  322  136 3523 1981   -1  436 3834 | 1444 1587 1178 4688 3843 2771   -1  757 3894 4130  483   -1   -1 1033  684 2226 1559 4985 | 4944 1552 4233 2139 3742 3863 4458   -1 2810   -1 3282 1381   -1   86 4280   -1  753   -1 | 3801   -1 1324   -1 1838 3836   -1   -1  518 1898   -1 1014  814 3934 1824  925 2595 3103 | 1933 4833   -1  549 4409   -1 3636  823 4576 4228  862 3070   15 4347 1096   -1 3114 3579 | 2783 3555   -1 2987 4991 3663 1818 2758 2432 1844  728 2798   -1 1292 3422 3785 1578 1126 | 2790 1922 1290  538   -1   -1 1632   -1 3873 4360   -1 1166 3285 1629   -1 3653 3336 4836 | 4125 1275 1141 2722   -1   -1  396 4929   -1  389 2554   -1 1737   -1 3220   -1   -1 4350 |   -1   -1   -1 3380 1612 4144 2940  756 3554 3558 1636  670 2466 1905 3743 4416 2727 3543 |  563   -1 2789 4810 1972   -1 4755 1385 4937 2954 4176 3180   -1 3737 4474 4637   -1 2256 |   -1  986 1565 3435 3828 4699 3143 3266  769 4035 3005 1105   -1 4505  746 2835   -1   -1 | 2642   -1 2700 3939  364 2885 4156   -1   -1 1175 1123 2374 2742 3360 3672 4120 3117 2913 | 4006 2410   -1 4086   -1  545 2143 1093  313 4734 2611   -1 2277 2614 3340 3206   -1 4766 |   -1  367  685   -1  678 4369  817   61   -1 4648 1829 2996   -1 2409 2363 2759  480  424 | 
|   -1 4590 1517  633 2981  622 3092 3018  101   -1 4248  914 1193   -1  805 1866  443 2734 | 3434  350 3949 3713 1437 1211 2495 3181 4681 1814 1059 1668   -1 4511   88 2677  173  571 | 4304   -1  473 4713 3102 4464   65  773 3998  197 4653 2192   -1 3969  585 4232 4028 3576 |  261 1299 2161  272 2187   -1 2015 4098   96   -1  376 1479 4078 3690 4930   -1 4142 4977 | 4470 2099 1262 1431 4306 3291   -1 4163  297 1219 2966   -1 1360  244 2108 3235 1311  498 |  273 4132 2435 4931  388 4229 4939   -1 1982   -1  467  808   -1 3265  581   -1 2994   -1 | 1036   -1 2399   -1 1608 4924   -1   -1 3552 2872 3256 3774 2372 2873 1153 3084 3453 3815 | 4933  666 3292 4776 4685   -1 2477 1180 3563 3912 3877 2327 3887  631 3917   -1 3758 4129 |  857 3905   -1 1689 1006  735 3141 4727 4152 2972 1917 1656   -1  310  731 3845 1721 2687 | 4294 1217  103 4364  738   -1 3101 4239 3096   85   -1  222 4009 1049 4479 1186 3188  557 | 2504 4030 3309 3086   -1   -1  559 2552   -1 2702 2056   -1 4547 1142 3630 4514   -1 2719 |   -1   -1   -1  295 4356  240 4838 3534 1225 2917 3012 2626 1928 4478 3903 3598 2179 3694 | 1495    1 2046 3933 1524   -1  357 3648 4394 4255 1050 1238   -1 2230 3300 3409 3886  607 |   -1 4568 1339   63 1451 1788  179 1850  854 3125 4821  573   -1  642 2713 4111   -1   -1 |  899  236 3810 2716    6 4635 2787   -1 3058   79 3179 4692 2338 2043 1991 4245  230 3824 | 3617 2638 3624 1945 3714 2892 3960 2076 1008  562 2329   -1 1936 4634 4491 1955   -1 3172 |   -1  113 4878   -1 2690  657 4527  366   -1 4786 1128 4251 1082 1184 1035 1071 4290 2585 | 
|   -1 3051 2752 4038  810 4560 4746  460 3645   -1 1301 2051   93   -1 1209  737 4897 4643 | 2047 1653 1600 2385 4959 4391  900  994 1289  408 1332 1628 1623 3682 4217 3244 4139  604 | 2177  697  196 4019 3489 1140 1541 4729 4569 3749 1910  212 1775 1892 1045 4654  629  395 | 3021 2419 1811 1813 2711   -1 3807 4058 3207 4680 1341  306 1873 3437 1787   -1   84 3425 | 4625 2384 1872 3064 2883 2396   -1 4034  982  659  931 4425 3083  102 2234 2050 3032 4031 | 3867  128 4187 2888 1312 3962 3257   -1 1088 4988  594 4806 4604 4551 2220   -1 1025  271 | 2365   -1 3201   -1 1246 3447 2497   -1 1280 4652 4656  461 1776 1758  172  435 1752  224 | 3659 4056 1880 1024 2747   -1 3027 2115 1106 2286 4865  223 2712 1768 4843   -1 3130  930 |  539  800   -1 4357  426 1265  231 4779 1690 3943 2601 2149   -1 3419 4752 4566 4174  891 | 4483 4359 3770 2764 3468   -1  687 3588 4335 2782 4813 2116   33  178  903 2864 2597   89 | 1099 1989 3937 3822   -1  643  706  241   -1 4558 4220   -1 1570 1447 3199 3362   -1 2413 |   -1   -1 3163 1393 1317  541 2153 4453 1063 2349 2186 3913 2156 4743 2507 4605  777  632 | 2451 3011 1240 4596 4545   -1 2931 2564 3241 2415 4214 4641 1815 1147  977 1832 1078 4488 |   95  358  334 1806 4319 3424 1867 3405 2995 2813 2350 3356   -1 1577 1459 2092   -1 4324 |  200 1673 3159 2387  378 4548 1616 2443  501 3471  156 2474 4735 3731  536  446 3410  114 | 3385 2693  143 4677 3091 2168  943 1544 1954  351 4315 3357 3968 1020 4563 1685  718 2650 |  242 4451  868   -1  711 2516 4687 4410   -1 1055 2145 3510 3243  330 1595 1206 2576 2721 | 
|   -1  689  720 3951 1348 2163 2236 1550 1245   -1   19 1834 4460  758  855 3002 1878  488 |   12 2501 1927 4135 3945 2485 4701 4963  926 2559 4164 1643 4848 2829  635 1937 3967 2035 | 2253 4437 2071  203 4234 3147 3635 2288 4911 3255 1475 4855 3280  469 4741 3670 1343 4022 | 4673 1963 3056 4100  835   -1 3658 2111 2164 4029 4907 4071 1433  617  816   -1 4649 3137 |  872  949 4179  766 3982 2584   -1 1638 4032 4678 1435 1593 3213 2440 1549 1781 1062 2682 | 3242 1520  588  971  963  522 3641   -1  973 1326 4589 1218 1976 2618 1694   -1 2303 3321 | 2607  324 4840   -1 3578 3267 2598   -1 4069 4060  502  452 4995 2942 3947 3112 4242 3074 |  628 4371 1841 1379  770   -1 1782 1428 2604 3586  870 3174 4417 1092 4733 4183 3696 2124 | 1314 2345 3162  998 4885 3227 4238 1284 3854 4856 3881 4642 4660  609 1497 3804 3899  118 | 3587 2075  112 4800 4039  948 2123  372 4981 3215 3390 3118 4539 3430 2602 1429 4087 1297 | 1478 2739 3818 1465   -1 4782 1009 1017 1272 2991  345   -1 3800 3469  362  864   -1 1046 |   -1   -1 4775 4886 3769 2993 4169 1780 2207 2010 2657 3688 2933 2627 1799 4951 1463 2001 | 2229  923 4432 3456 2190   -1 2360 4896  368 3703 4898  691 4892 1965 3549 3173 1244  647 | 2907  708  499 4910  905 3239 1751 3809  729  370 1978 4171   -1  465 2184 2017   -1 2809 | 3231  474 3544  106   22 2280 4592 2488 1683 2936 4119 4082 2805  696  741 3831  916 4252 | 2934  676 4707 2199 4400 2912 3477  214 2973 4881 3741 1848 3443 1791 2468 4387 1177  669 | 4595  405 4764 3470 3759 2173 1697 3541   -1 4785 2002 4909 2707 2100 2261 3983 3355 3193 | 
|  346 4297 3719 1232 2593  592 1847 1086 3791   -1 3652 4664 1568 3551 4877   58 4620 3025 | 1271 4433  109 4459 4529 1680  146 2672 2921 2849 1155 1199  790 3707 2400 3789 1228 1851 | 3302 3931  354  871 3106 3803  251 1439  276 3013 1999 1399 1058 4989 1114 3975 4399 2006 | 4075 2060 4397 2731 1830 2780 2646 1564 1384 4048 3765 4480 3740  576  603   -1 3609 4206 |  840 2023 1269 3812 1310 2770   39 1207 4747 4190 4710 3566 4278  736   28 4893 4724 3089 | 1390   18  939 2779  298 1373 1693 2066  786  813 1931 3071 1610 4146 4305   -1  508 1951 |  323  397   82   -1 1281 4109  806 3039 1622 1396 1857 4845 3107  167 2815 1270 2235 3981 | 2824 4070 2989 4219 1065   -1 2609 1052 3574 1843   77 1494  625 2004 1859 1072  929 1808 |  919 3629 4947 4731 4584 2117 4980  129 2914 4830 1124 3673 4158 3753  165 3052 4759 4958 | 4268  331 2287 1915 4645 3669 3639 4721 3490 1469 4763 1196 2194 4676 2879  356  533 2847 | 3832  577 4657 1960 4145 2667 1706   87 2705 4510 1572 2624   34 1268 2859 2819  967 4101 |   -1 4159 1659  206 2082 4044  889 1419  133  482  869 1321 3504 3269 3646 1918 2401 1010 | 1090 2094 4866  166 4765   -1  531 1408 2221 4679  535  432 1743 1820 3882 3277   97  399 |  328 4092  126 1894 2848 3352 4844 3436 4445  100  225 1274   -1 4096 1769 2318 3891 4670 |  759 2014 4261  459 3865 1215    2 3757 4704 2213 1891 2114 4472 3884 1452 2761 3572 1258 | 4772 2862 3910 2321  116 4017 4966 4113 2224 3847 3539 3560  953 4658 3382  208 1973 4647 | 4949 4613 2528 2414 4199 2772 2267 2214 3723  458 4935 1716 4756 4216 2347 4446 1029 1346 | 
|  205 3333 4773 2629 3775 4871  487 2342 2909   -1 4608  123 1740  744 3399 2592 3209  681 |  809 1350 1216  107 2841 4279 3411 1755 1753 2292 2278 1116 2930  431 1480   60 2430  260 | 2898 4849 4286 3706  686 2000 2378 4725 2107 3676 2491 4089 2546 4986 1383  339 2988 4675 | 2276 4157 4362 4798 1634 2293 2920  140 2036  959  259 3253  833 1344 4748 3686 2692 4287 |   23 2675 1410  791 2297 3994 4650 1132  638  837 1641 4760  579 3161 3438 4026 2203 3337 | 2533 1772  299 1353 1352 4631 1192 4751 3208 4406   13 1249 3952 1363 1039   -1 3240 2735 | 2475 4999 3771 2568  430 2867 2768  618 4603 1430 1553  723  988  907  296  505 2088 2341 |  987 1644 2903 1152  445 1980 2884 4211 2062 2572 3038 4016 4288 4452 1987 3556 2348  942 | 1426 2109  957  292  263 1647  186  695 2661  293 2923 2406 1538 1044 1817 4118 2673 1013 | 4712 3191 3249 2918 3567 2753  915 2467 1423 1957 4562  584 1606 4013 1097 2961 1723 2967 | 2645 4674 3384 2412 3712 4526 1446 3546 3974 3036  221  976 4629 1337  701 3232  226 2462 |   -1 4274  207 3373 2064 1200  332 2135 3361 1458 4237 3040 3616 4024 4693 3827 4299  329 | 4447 1345 3614 1195 3236   -1 4557 4197 2189 4343 3121 2472 1631 2865  148 4494  274 4431 | 3996 1858 4210 2326 4689  275 4846 3296 2390 2521  512 2894   38 1984 2041 1674 1729 1048 | 4534 1205 2294  506  347  606 4600 3571 4173   81 3339 2784 4575 4276 3465 2404 2178 1537 | 1938 4869 4308 4441 1468 3225 3306 2984 1660 4059 2617 1667 2534 4247 2960 1382 3120 2225 | 4434  344 1903  830 2825 3535 1442 3030 2902 1127 3823  616 3407 3270  598 2547 2150  484 | 
| 1874 3601 3944 4204 2671 2073 3924 1711 1896 1508 2701  479  422  137 3394 3533 3562 2861 |  997 1113 2963 4972 3965 4419 1464 3796 1405 4824  177 2860  285 4265  991 3428 1358 3599 | 2579  783 1816  525 1952 3498  266 4466 1303 2863 3153 4895  936 3993 1967 3816 4053 2738 | 2804 2033 1453 1167   36 4901 4269 2794  302 3047 4579 1457 2833 2852 3214 1357 1911  895 | 4913 3133 1386 2201 4817 1313 1185 3136 1007 3699 2766 2666 4292 4325 3779  578 1370 1566 |  682   31 2081 3065 3634  844 1327 4311  119 1514 3767 2655  218 2724 1266 4116  612  781 |  363 4615 3335 2025 2529 1161  157 1661 4386 1287  847 2068 2751 4655 3485 4916 1222 4320 |  449 4001 1371 4622  530 3923 3984 3318  568 4832 4578 4880 1103 1391 3794 1968 1620  933 | 3004 3559  896 4007 3328 3119 1304 2352 2314  375 1575 1436 4640 4593 1328 2392 1605 1877 | 3995 2802 4090 1068 3795 3493 3840 1764 4467 1511 1473 1576 3346 2696 3848 4033 1173 4994 |  247 4412 2069 1477 2793  340 4807  794 3000 3392 4209 3222 1137 2282 3691 3314 2458 1253 | 2417 3307 2538 4061 4126 2905 2583 4914 2878 2275 3893 4612 3916 2919 1990  521 3020 2881 | 1081 4134 2308 4011 3325 2730  130 3730  145 1462   29 1416 3625  798 1306 1095 2853 3088 |  163  121 2746 2097 3928 4754 3372  866 2678 2446 2897 2756  832   55  901  803 3252 2490 | 1601  134 4344 4811 1739 3786 3671  688 1560  191 3904  848  183 2796 3363 3660 4376 3311 | 3432 1174  220 1406   26 1526 4065 2644 3343  964  553  504 2162  387  802 3681 2061  597 |   42 3315  532 3835 2832 2122 4795 4107 4943 4231  341  789  776  882 2924 2590 2769 1950 | 
| 1529 2197  528 2723 4283 2615 3946 4230 1084 2146 3420 1614 1561 1515 2026 1547 4973 3929 | 1655 2181  374 2182 4788 1837 3254  658 3250 4787  154 1484 4661 2095 3003 1476 1460 4149 | 4967 3246 3205 3821 2429 2633 2880  852 1505  646 3710   20  193 2499 2658  384 2503  400 |  716 3675 3861 1722   16 3638 3053 2320 1932 4341  283 3085 4825 1331 3859  162 4313 1159 |  413 4960 4965 4666 1701 2393 1368 2781 1506 3423 1956 4925 1615 2271 1669 2453 2355 4790 | 3716 2055 2563 1823 4106 2377 2844 1732 3705 4663 4281 1403  125 2522 4493 4115 1108 3095 | 1705 2535 2263 1040 4730 1876 1754  878  248  655 2964 2257  441 2608 3781 3950 3150 2452 | 4327  648 3878 2493  911 4952 4984   14 4667 1030   80 3720 1027 1220 2358 4346 4222 3655 | 4717 4267 2868  927 1684 2792 1786 3354 4732 1031 3304 2005  582 3971 3643 3146 4834 1154 |  423 4971 4049  611 1295 1988 4646 1496  703 4737  475 3160 3802 3649 2171 2811 3237 1947 | 4839 2755 2750  664 2869 3611 2548 3458 1120  262 1663  920 1197 2843  580  416 1969  596 | 2686  327  379 2030 4002  995  523 3844 2340 4602 3185 4307 1671 2845 4918 1034 1320 1929 | 3568  187 4528 3689 4482 1056  979 2574 4495  111 4793 3202 3287 3516 1975  181 1825  492 | 3988 4796 2955 4864 2222 4250 1015 1557 2575 2509 3684 2591 4632 1603 4291  818 3734 4103 | 1692 3196 3735 2295 1254 3444 2361 2736 4863 1503 3010  343 2185 1793  120 1523 4819 3512 | 4193   94 4998 2175  268 4767 4516 4262 3457 3082 1783 2877  861 1472 2012 4750 3545 3922 | 1924 4517 1263 3612 2003 4682 4349 1734 1440 2091 1883  325 4828 2663 3721 2728  182   78 | 
